TRIP_ID,TIMESTAMP,CURRENT_LAT,CURRENT_LNG,CONTAINER_TEMP,RAIN,TEMP,PRESSURE,WIND_SPEED,WIND_DIRECTION,ACCELERATION,BRAKING,CORNERING,SPEEDING,SEATBELT,DISTRACTION,BATTERY_HEALTH,BATTERY_VOLTAGE,TYRE_PRESSURE,FUEL_LEVEL,OIL_LEVEL,SPEED,POLY
1000.0,1 min,33.4447187,-111.9483313,0,7,13.0,60.0,13.0,7.0,1,2,1,1,0,1,AVERAGE,13,34,37,9,0,kackEfygjTcBxA
1000.0,1 min,33.4441951,-111.9489504,0,7,13.0,60.0,13.0,7.0,1,0,0,0,0,2,AVERAGE,13,33,37,9,0,odckE`|gjTZp@Xf@DHHHJFLBF@
1000.0,1 min,33.4376614,-111.9434494,0,7,13.0,60.0,13.0,7.0,1,2,1,2,0,1,AVERAGE,13,34,37,9,36,gackE|_hjThCiA^Q^QDA@ABAf@Un@_@j@a@NQVUJKT]T]P[N[HQTg@h@eAf@{@HK^o@`@k@l@u@Z_@BEDEFGFGTSJKr@k@TSTQr@i@j@]TMVKjAg@x@[@?XGjBa@
1000.0,1 min,33.439384,-111.9486813,0,7,13.0,60.0,13.0,7.0,1,2,1,1,0,1,AVERAGE,13,34,37,9,18,kxakEp}fjTHTDRL`@Hf@Hf@B`@@f@?`@AZAVCXEXEVGVGXIVKPKRKRm@dAyAbCAB]h@MRMRKRMTMRKTKTITKVKTITMd@
1000.0,2 mins,33.4356062,-111.9439867,0,7,13.0,60.0,13.0,7.0,1,0,1,1,1,4,AVERAGE,13,33,37,9,18,ccbkEf~gjTM^LBJHLDZNRHRJ@@RHTHVFNFNDLBNBLBP@J@p@Dn@Bf@Bd@@^?j@AN?L@X?nADd@Bb@Bf@B@w@@s@?S@_@?q@?C?k@?C?g@AK?]AUAs@Au@Aq@As@Aw@?y@A{@?o@?w@B_ABmA@y@@Y?E?CAC?CACAEIOA?
1000.0,2 mins,33.4357099,-111.8989465,0,7,13.0,60.0,13.0,7.0,1,1,2,1,0,1,AVERAGE,12,33,37,9,78,qkakE|`gjT@U@e@HsCBo@?A?ABq@Be@Bg@Bc@?A@QDgA@]B[JcCL}B@IB_@Bk@NgCTqDBYBi@@UBk@Bm@@Q?i@@M?]?k@AgA?K?W?SAOAY?AAUAYCa@AUAOGo@AWQgByAaPKgAAOAMAA?GEa@OcBMiBIiBGsBA]?KAk@Ay@C{D?u@?S?O?y@@kD?kH?A?i@@qF?eAByD@{@?yD?u@?a@?y@@_I@cG@uA?i@@oG?kD@oB?}@?G?cA@cK@}@?A?A@}@?iE@k@?i@@wI@mD?uA@i@?wA?WC_@BqPAm@?o@@i@@e@?s@@o@Bi@JcB
1000.0,3 mins,33.4611539,-111.888958,0,7,13.0,60.0,13.0,7.0,0,2,2,0,2,0,AVERAGE,12,33,37,9,54,elakElg~iTHg@XmB@MFc@Hq@Jq@F]DULm@Ps@Li@P{@La@Pc@Pc@Ri@Ri@N]HQ@CBEHMFM?AR_@NYJOHOXc@PUDIX_@BERWZ_@`AgAHKTW\a@LQNS@CLSN]HUHUFWJa@DS@MD_@@S@C?K@O?U?C@K?E?GAQ?O?A?ICO?KAA?AAOEWG_@GW?CCEEQM]Q_@MUKSIOOQAASSQQIIKIQMAAOIOGWMKGKC]I[E_@AY@W@Q@O@KBQBA@A?MDA?UFSHSHOFSJeAp@s@j@QJc@ZkAz@MJQJWJ]N]J_@Ja@FYDc@@iCDiA@aA@wHHSCkCDeGFQ@_@?}CDG@C?C@C@A@A@ABELeGIA?_@?cD@aCCaAAeA?Q?qAG_@AiBKC?eBIEAc@Cc@EeAGAAqCUcAKg@CEAG?MAA?]CmAI_DUC?c@CeG_@_CMgAGiBMkBMwLy@c@EwE[]AqAIk@EuBM
1000.0,10 mins,33.6170347,-111.8912542,0,7,13.0,60.0,13.0,7.0,0,2,0,0,2,0,AVERAGE,12,34,37,9,67,ekfkE~h|iTgDUaDWeEY]EuBQqCUsAG_@CsCS_CQOAiBKc@C[Ci@Ck@Ae@Cu@CYAM?c@?c@Ak@Aq@@S?O?u@@cABS@u@Bm@B}@FiAHuANwAPi@FcAR_@Fk@Lu@PiBb@IB}@T}AZeCn@yBd@c@J}@Rc@Ho@JQBI@M@aALu@Ds@Dk@By@@gA?SAY?a@AsAGI?yAK_AMk@Km@MmAWu@S[IiA]oAa@mAa@k@Qc@Oi@Qc@MUIUI_AU}@Wq@QgB]YEUEg@IMAm@IaAIk@Ek@CaAEg@AU?g@?y@?wABKAi@@oB@c@@uDBaIFwA@e@@S?iBByBD]?E?K?Q?E?Y@wFEkAAc@?W?wDEiBA{CCc@?oCCaIEc@?{BA}B?gA@sDBoCBc@?}ED}EBgA@qC@_ABk@@O?O?M?S@gGCs@A}BCyCCk@?qIEqVOiECaDCYAU?m@?sAAu@Ao@Ai@AgACwAEcAGaAIo@GkAMYESCKCm@I_AQe@Mm@Mi@M[G_@MsA]mDeAw@SCAa@MC?aA]e@Ma@MMCKCgA[u@SUGSIEAYGQEME{@WcA[{@Yw@UKCUIKCgBk@u@SGCcAY_@M[IEAKCwAc@_@K_Be@iA[q@SiBi@aAW_@MA?}Ae@wDgA[Ka@Ma@Mo@QwEuAa@MA?OEQEc@MmBm@mDeAa@MqGkBiDcAgA]s@QKE_@Kq@SaAU_ASe@Kg@KUCEA[EWEYEk@Es@Io@Go@Co@Em@C{@AaAAy@?m@@mB@sA@oB@cA@c@@W?qBByBBeB@[?g@@C?qA@gDFc@?A?U@G?s@@}GFM?iA@eABy@Bi@Bm@D}@J[FQBQBOD]HYFSFg@N]J]Lc@NqB~@{@h@k@^YT[Vm@f@SRWTi@l@i@l@g@p@e@r@e@v@a@t@]p@q@|AaBbFcBdFcBdFa@jAe@tAe@jAWd@a@z@_@j@A@]d@ABOP?@CBi@n@s@n@g@`@i@`@o@^y@^y@\g@PKBoAXc@Hg@HwAJmADoAAw@GKA]CgAUk@OqBm@]M{@_@_CaASGkBs@sAk@g@O}@WSEi@Ik@IUCk@Gk@CWAS?k@AW?{@@q@B_@Dg@Da@H_@Hs@R[J[Ha@La@NE@gCz@aAXu@T_AXu@Tu@Rq@Pa@H_@Fg@H[Hc@FYBYDg@DS@i@F{@HWBS@aAJaAHy@F_@DmCZk@HiCTuCNcBHoBBy@?e@?]@w@@mBCiBAmC?oCAsB?gHA}A?aA?cDAaCBwMAm@AYAG?G?A?G@G?U?C@G?M?wAAG?qC?gHCgCCkDAkFA_C@{ECkA?W?}DAcA?cHAcIA{HC_D?c@?sD?qK?eCAO?}DAI?wC?}@C
1000.0,3 mins,33.656912,-111.9184988,0,7,13.0,60.0,13.0,7.0,2,1,1,1,2,1,AVERAGE,13,33,37,9,76,mydlEhw|iTeFAA?G?WAI?A?A?e@AM?SA]AE?mAGmAIWCaAGwCUsCQeCOc@EYAuDYgDSoBMiAE_BEaDGgAAsCAcD?eD@U?U?E?]AA?I?cA?u@?w@?aBAcBAmACcAAqAAyAA_DAw@?iA?C?c@?a@AO?}A?a@A_B?}BA}BAaDAc@?KAoBB{AB}@DA?G@Y@A?A@g@B_AFi@Dq@Ha@Bi@Hk@Hk@Ji@Hi@Li@Jk@Li@Ni@Li@Le@Nk@Pi@Ng@Pi@Pg@Re@Pi@Tg@Tg@Ve@Ri@Xg@Ve@Xe@Ve@Xe@Zc@Za@Xg@^e@\c@^c@`@a@\c@^a@`@e@`@_@`@a@`@a@`@_@b@A@]`@_@b@_@b@_@f@]b@]f@]d@[d@]h@]h@Yf@[f@Yj@Yf@[l@Wf@Yj@Wl@Wj@Wl@Uj@Uj@Un@Ul@Sl@Sn@Sl@Sn@Qn@Qp@Qn@On@Op@Kd@CJG\EPMp@Mr@?@Ih@ADKr@Ip@gAtIQrA{@dHMfAOdAgAvIqA|JSbBWzBc@tDOv@ObAW`Bk@rE_BnM
1000.0,1 min,33.6582947,-111.9236188,0,7,13.0,60.0,13.0,7.0,1,1,1,0,1,4,AVERAGE,13,33,37,9,18,urllErabjTGPELEPGTG`@SzAi@nDY`B[bB[dBa@|BY~AO|@S`A
